customerid,customerid of PerfDemoCombined_train,Max(loannumber),Mean(loannumber),Sum(loannumber),Max(durationforapproval),Mean(durationforapproval),Sum(durationforapproval),Max(Interestrate),Mean(Interestrate),Sum(Interestrate),Max(referral_recode),Mean(referral_recode),Sum(referral_recode),Max(churn_flag),Mean(churn_flag),Sum(churn_flag),Max(AgeAtTimeofLoan),Pct_default,Mean(AgeAtTimeofLoan),Sum(AgeAtTimeofLoan),systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,referredby,good_bad_flag,birthdate,bank_account_type,bank_account_recode,longitude_gps,latitude_gps,bank_name_clients,bank_branch_clients,employment_status_clients,employment_status_clients_recode,level_of_education_clients,Validation
8a858e0156b782a10156beb5c215582e,8a858e0156b782a10156beb5c215582e,2,1.5,3,1.003611111,1.002916667,2.005833333,365,365,730,0,0,0,1,0.5,1,37,50,37.4,75,301998317,2,38:21.0,38:13.0,10000,11500,15,,Bad,00:00.0,Other,Other,7.3592521,8.9924654,GT Bank,,Self-Employed,Self-Employed,,Test
8a858e045cd5b1d6015cd6da7b3b4bf2,8a858e045cd5b1d6015cd6da7b3b4bf2,2,1.5,3,1.018888889,1.010416667,2.020833333,365,365,730,0,0,0,1,0.5,1,32,50,32.4,65,301986396,2,12:12.0,12:05.0,10000,13000,30,,Bad,00:00.0,Savings,Savings,7.4602796,9.0065501,Access Bank,,Permanent,Permanent,,Validation
8a858e045cd5b1d6015cdac5a9fe38be,8a858e045cd5b1d6015cdac5a9fe38be,2,1.5,3,1.002222222,1.002222222,2.004444444,365,365,730,1,1,2,1,0.5,1,41,50,40.7,81,302002357,2,35:54.0,35:46.0,10000,13000,30,8a858f055b15b8d3015b164758eb3a24,Bad,00:00.0,Savings,Savings,3.8920083,7.4083333,First Bank,,Permanent,Permanent,,Test
8a858e045cd5b1d6015cdfdd2d7b1310,8a858e045cd5b1d6015cdfdd2d7b1310,2,1.5,3,1.018888889,1.010277778,2.020555556,365,365,730,1,1,2,1,0.5,1,34,50,34.3,69,302000145,2,35:23.0,35:17.0,10000,13000,30,8a858ed1594a282f01594a4d14f50a58,Bad,00:00.0,Savings,Savings,4.5371415,7.7659524,UBA,,Permanent,Permanent,,Test
8a858e045cd5b1d6015ce3fef2ef0ee4,8a858e045cd5b1d6015ce3fef2ef0ee4,2,1.5,3,1.019166667,1.010277778,2.020555556,365,365,730,0,0,0,1,1,2,29,100,29.1,58,301959569,2,21:49.0,21:44.0,10000,13000,30,,Good,00:00.0,Savings,Savings,3.4573084,6.4362871,First Bank,,Permanent,Permanent,,Training
8a858e045cd5b1d6015ce34aae8e63ed,8a858e045cd5b1d6015ce34aae8e63ed,2,1.5,3,1.018888889,1.010277778,2.020555556,365,365,730,1,1,2,1,0.5,1,39,50,39.4,79,301979747,2,02:28.0,02:22.0,10000,11500,15,8a858e6f5cd5e874015ce084c86e2a87,Good,00:00.0,Savings,Savings,3.422685,6.4437749,Keystone Bank,,Permanent,Permanent,,Validation
8a858e045cd5b1d6015ce47a16742d68,8a858e045cd5b1d6015ce47a16742d68,2,1.5,3,1.002777778,1.002361111,2.004722222,365,365,730,0,0,0,1,1,2,30,100,29.9,60,301996859,2,28:27.0,28:20.0,10000,13000,30,,Good,00:00.0,Savings,Savings,3.2406074,6.6607579,First Bank,,,Unknown,,Training
8a858e045cd5b1d6015ce403694c1191,8a858e045cd5b1d6015ce403694c1191,2,1.5,3,1.018888889,1.010416667,2.020833333,365,365,730,0,0,0,1,0.5,1,42,50,41.7,83,301998818,2,44:55.0,44:48.0,10000,13000,30,,Bad,00:00.0,Savings,Savings,7.3545254,8.9651347,Zenith Bank,,Permanent,Permanent,,Validation
8a858e055d0d9bd3015d0dcfc6bd1b1f,8a858e055d0d9bd3015d0dcfc6bd1b1f,2,1.5,3,1.018888889,1.010277778,2.020555556,365,365,730,1,1,2,1,1,2,28,100,27.5,55,301985651,2,16:57.0,16:51.0,10000,11500,15,8a858e435bedeb4f015beefb8a294d30,Good,00:00.0,Savings,Savings,7.5861802,9.0146061,GT Bank,,,Unknown,,Test
8a858e065ccb8bc0015ccbf7b21c1875,8a858e065ccb8bc0015ccbf7b21c1875,2,1.5,3,1.019722222,1.010694444,2.021388889,365,365,730,0,0,0,1,1,2,27,100,26.7,53,301960177,2,10:44.0,10:38.0,10000,13000,30,,Good,00:00.0,Savings,Savings,6.9918949,4.8726409,Access Bank,,Permanent,Permanent,,Test
8a858e065ccb8bc0015ccc9d8c2532cb,8a858e065ccb8bc0015ccc9d8c2532cb,2,1.5,3,1.018888889,1.010277778,2.020555556,365,365,730,0,0,0,1,1,2,33,100,33.3,67,301963351,2,10:39.0,10:33.0,10000,13000,30,,Good,00:00.0,Savings,Savings,3.4617967,6.42786,Zenith Bank,,Permanent,Permanent,,Training
8a858e065ccb8bc0015ccca62cf83466,8a858e065ccb8bc0015ccca62cf83466,2,1.5,3,1.018888889,1.010416667,2.020833333,365,365,730,0,0,0,1,0.5,1,35,50,34.8,70,301970931,2,08:34.0,08:27.0,10000,11500,15,,Bad,00:00.0,Savings,Savings,6.204584,6.245407,Access Bank,,,Unknown,,Training
8a858e065ccb8bc0015cce72dd475bfc,8a858e065ccb8bc0015cce72dd475bfc,2,1.5,3,1.019166667,1.010416667,2.020833333,365,365,730,0,0,0,1,0.5,1,43,50,42.5,85,301990035,2,13:00.0,12:54.0,10000,13000,30,,Bad,00:00.0,Savings,Savings,4.84996,7.1090767,GT Bank,,Permanent,Permanent,,Validation
8a858e085ca0b5e8015ca0bacc7e0208,8a858e085ca0b5e8015ca0bacc7e0208,2,1.5,3,1.018611111,1.010277778,2.020555556,365,365,730,0,0,0,1,1,2,33,100,33.1,66,301968344,2,44:06.0,43:59.0,10000,13000,30,,Good,00:00.0,Savings,Savings,6.7086242,6.2140277,GT Bank,,Permanent,Permanent,,Training
8a858e085cc5b826015cc60650982c6c,8a858e085cc5b826015cc60650982c6c,2,1.5,3,1.018888889,1.010833333,2.021666667,365,365,730,0,0,0,1,0.5,1,45,50,44.7,89,301988863,2,00:24.0,00:14.0,10000,11500,15,,Good,00:00.0,Savings,Savings,7.6388622,9.0007978,Fidelity Bank,,Permanent,Permanent,,Test
8a858e1d5ad28479015ad309602c6027,8a858e1d5ad28479015ad309602c6027,2,1.5,3,1.003055556,1.0025,2.005,365,365,730,0,0,0,1,0.5,1,29,50,28.6,57,301997872,2,05:41.0,05:34.0,10000,13000,30,,Bad,00:00.0,Savings,Savings,7.0053893,4.9033645,UBA,,,Unknown,,Training
8a858e1d5b2510b2015b2c76fe45726a,8a858e1d5b2510b2015b2c76fe45726a,2,1.5,3,1.018888889,1.010555556,2.021111111,365,365,730,0,0,0,1,1,2,51,100,51.2,102,301978662,2,33:49.0,33:41.0,10000,13000,30,,Good,00:00.0,Savings,Savings,11.3448923,8.9465271,First Bank,,,Unknown,,Test
8a858e1d5c5a460c015c5a51775a0613,8a858e1d5c5a460c015c5a51775a0613,2,1.5,3,1.003055556,1.002361111,2.004722222,365,365,730,1,1,2,0,0,0,27,0,26.8,54,301958966,2,41:58.0,41:52.0,10000,13000,30,8a858eac5c451942015c5635a22f58f6,Bad,00:00.0,Savings,Savings,3.3768003,6.4898933,First Bank,,,Unknown,,Training
8a858e1d5cd58f9e015cd5be41721a4e,8a858e1d5cd58f9e015cd5be41721a4e,2,1.5,3,1.0025,1.002222222,2.004444444,365,365,730,1,1,2,1,1,2,41,100,41.1,82,301996021,2,55:51.0,55:44.0,10000,13000,30,8a858eba5c884d2a015c9158d0692e5b,Good,00:00.0,Savings,Savings,3.3321234,7.1359255,GT Bank,,Permanent,Permanent,,Validation
8a858e1d5cd58f9e015cd8c747ad7d06,8a858e1d5cd58f9e015cd8c747ad7d06,2,1.5,3,1.018888889,1.010277778,2.020555556,365,365,730,1,1,2,1,1,2,26,100,26.4,53,301990954,2,03:53.0,03:47.0,10000,11500,15,8a858e4b5c831f02015c83bd0d353711,Good,00:00.0,Savings,Savings,4.5545448,8.5524512,Access Bank,,Permanent,Permanent,,Training
8a858e1d5cd58f9e015cd912f8830794,8a858e1d5cd58f9e015cd912f8830794,2,1.5,3,1.018888889,1.010416667,2.020833333,365,365,730,0,0,0,0,0,0,29,0,29.1,58,301979854,2,51:08.0,51:01.0,10000,11500,15,,Bad,00:00.0,Savings,Savings,3.3656492,6.4404437,GT Bank,,Permanent,Permanent,,Test
8a858e1d5cd58f9e015cdfe7c50d380b,8a858e1d5cd58f9e015cdfe7c50d380b,2,1.5,3,1.018888889,1.010416667,2.020833333,365,334.5833333,669.1666667,0,0,0,1,1,2,31,100,31,62,301996427,2,32:42.0,32:35.0,10000,12500,30,,Good,00:00.0,Savings,Savings,94.6767649,55.3115991,First Bank,,Permanent,Permanent,,Test
8a858e1d5cd58f9e015ce559ea09786b,8a858e1d5cd58f9e015ce559ea09786b,2,1.5,3,1.018888889,1.010416667,2.020833333,365,365,730,0,0,0,1,0.5,1,31,50,30.8,62,302003064,2,30:37.0,30:30.0,10000,13000,30,,Good,00:00.0,Savings,Savings,6.692518,6.1958371,UBA,,,Unknown,,Training
8a858e1d5cd58f9e015ce610e19f13f4,8a858e1d5cd58f9e015ce610e19f13f4,2,1.5,3,1.018611111,1.010138889,2.020277778,365,365,730,0,0,0,1,1,2,35,100,35.2,70,301976390,2,52:07.0,52:01.0,10000,11500,15,,Good,00:00.0,Savings,Savings,3.3182795,6.6862199,Diamond Bank,,Permanent,Permanent,,Validation
8a858e1d5cd58f9e015ceaef264365a0,8a858e1d5cd58f9e015ceaef264365a0,2,1.5,3,1.018888889,1.01,2.02,365,365,730,0,0,0,1,0.5,1,34,50,33.5,67,301967501,2,14:41.0,14:37.0,10000,11500,15,,Bad,00:00.0,Savings,Savings,3.3029506,6.6297912,Stanbic IBTC,,,Unknown,,Training
8a858e1d5cd58f9e015ceda4bdb63673,8a858e1d5cd58f9e015ceda4bdb63673,2,1.5,3,1.019444444,1.010694444,2.021388889,365,365,730,0,0,0,1,1,2,33,100,32.6,65,301981931,2,48:42.0,48:35.0,10000,11500,15,,Good,00:00.0,Savings,Savings,3.2858723,6.5824439,Access Bank,,Unemployed,ContractRetiredUnemployed,,Training
8a858e1d5cd58f9e015ceda385bb359d,8a858e1d5cd58f9e015ceda385bb359d,2,1.5,3,1.018888889,1.010416667,2.020833333,365,365,730,0,0,0,0,0,0,32,0,32.2,64,301994206,2,31:24.0,31:17.0,10000,11500,15,,Bad,00:00.0,Savings,Savings,4.5220062,7.8296432,GT Bank,,,Unknown,,Training
8a858e1e54e2aa5a0155059eabfa7cc1,8a858e1e54e2aa5a0155059eabfa7cc1,2,1.5,3,1.018888889,1.010416667,2.020833333,365,365,730,0,0,0,1,1,2,29,100,28.8,58,301989886,2,08:40.0,08:33.0,10000,13000,30,,Good,00:00.0,Savings,Savings,7.469311,9.0274759,GT Bank,,Permanent,Permanent,,Test
8a858e2c5b80de3f015b80e8045204ef,8a858e2c5b80de3f015b80e8045204ef,2,1.5,3,1.818055556,1.411111111,2.822222222,365,365,730,1,1,2,1,1,2,35,100,35.3,71,301989409,2,27:10.0,26:55.0,10000,11500,15,8a8589045384bd8301539e134b745638,Good,00:00.0,Savings,Savings,3.379166,6.6194277,Stanbic IBTC,,Permanent,Permanent,,Test
8a858e2c5cc64f70015cc83a050e57d2,8a858e2c5cc64f70015cc83a050e57d2,2,1.5,3,1.019444444,1.010833333,2.021666667,365,365,730,0,0,0,1,0.5,1,22,50,21.8,44,302002358,2,36:40.0,36:32.0,10000,13000,30,,Bad,00:00.0,Savings,Savings,3.2534281,6.5121219,Access Bank,,,Unknown,,Validation
8a858e2c5cc64f70015cc942825e71ae,8a858e2c5cc64f70015cc942825e71ae,2,1.5,3,1.018888889,1.010416667,2.020833333,365,365,730,1,1,2,1,1,2,32,100,31.6,63,301983228,2,31:33.0,31:26.0,10000,13000,30,8a858e7855113fb701551fe018ce6913,Good,00:00.0,Savings,Savings,3.3831598,6.6290094,GT Bank,,Permanent,Permanent,,Test
8a858e2d597cf6250159830fb43c57ac,8a858e2d597cf6250159830fb43c57ac,2,1.5,3,1.0025,1.002222222,2.004444444,365,365,730,0,0,0,1,0.5,1,36,50,36,72,301987589,2,46:55.0,46:46.0,10000,13000,30,,Bad,00:00.0,Savings,Savings,3.3262112,6.6348355,Access Bank,,Permanent,Permanent,,Test
8a858e2e5bb57a37015bc8ff494a1089,8a858e2e5bb57a37015bc8ff494a1089,2,1.5,3,1.005,1.003194444,2.006388889,365,365,730,1,1,2,1,1,2,27,100,27.2,54,301971212,2,24:54.0,24:49.0,10000,13000,30,8a858e645755e62201575e72c8b77fd5,Good,00:00.0,Savings,Savings,3.3982718,6.4489034,UBA,,,Unknown,,Validation
8a858e3a5cef882a015cefc0bf3f1fa2,8a858e3a5cef882a015cefc0bf3f1fa2,2,1.5,3,1.018888889,1.010416667,2.020833333,365,365,730,1,1,2,1,0.5,1,36,50,36.5,73,301975808,2,43:13.0,43:06.0,10000,11500,15,8a858ee55cb156e6015cb63f19146515,Bad,00:00.0,Savings,Savings,3.3894469,6.5947509,Diamond Bank,,Permanent,Permanent,,Training
8a858e3a54e3370201552642ce7830c8,8a858e3a54e3370201552642ce7830c8,2,1.5,3,1.018888889,1.011944444,2.023888889,365,365,730,0,0,0,1,0.5,1,42,50,42.1,84,301971257,2,52:38.0,51:30.0,10000,13000,30,,Good,00:00.0,Other,Other,3.4086944,6.4269995,Heritage Bank,,Permanent,Permanent,,Training
8a858e3c5cac9fcc015cacdb715d1597,8a858e3c5cac9fcc015cacdb715d1597,2,1.5,3,1.019166667,1.010555556,2.021111111,365,365,730,0,0,0,1,0.5,1,37,50,37.2,74,301973022,2,20:47.0,20:40.0,10000,11500,15,,Good,00:00.0,Savings,Savings,3.8237879,7.3820442,Wema Bank,,Permanent,Permanent,,Validation
8a858e3c5cac9fcc015cb09fdd925a5a,8a858e3c5cac9fcc015cb09fdd925a5a,2,1.5,3,1.018611111,1.010277778,2.020555556,365,365,730,0,0,0,0,0,0,25,0,25.2,50,301989470,2,59:25.0,59:18.0,10000,13000,30,,Bad,00:00.0,Savings,Savings,3.2877592,7.1772516,Sterling Bank,,Permanent,Permanent,,Training
8a858e3d55ca3ef60155cef965907bdc,8a858e3d55ca3ef60155cef965907bdc,2,1.5,3,1.018888889,1.010416667,2.020833333,365,365,730,0,0,0,1,1,2,28,100,28.3,57,301983827,2,14:25.0,14:18.0,10000,11500,15,,Good,00:00.0,Savings,Savings,3.4274473,6.4291349,UBA,,Permanent,Permanent,,Test
8a858e4b5c831f02015c839d82442fc7,8a858e4b5c831f02015c839d82442fc7,2,1.5,3,1.019166667,1.010277778,2.020555556,365,365,730,1,1,2,1,1,2,30,100,29.8,60,301964354,2,38:14.0,38:09.0,10000,13000,30,8a858f9d5668e3f10156767e9a0f0188,Good,00:00.0,Savings,Savings,3.321422,7.1299539,Access Bank,,Permanent,Permanent,,Test
8a858e4b5cb1e4d7015cbb9cbacf67e3,8a858e4b5cb1e4d7015cbb9cbacf67e3,2,1.5,3,1.019722222,1.010833333,2.021666667,365,365,730,1,1,2,1,0.5,1,33,50,32.7,65,301997188,2,19:13.0,19:06.0,10000,13000,30,8a858ee55cb156e6015cb6a5d8407bd1,Good,00:00.0,Savings,Savings,7.3660052,9.1460831,Access Bank,,Permanent,Permanent,,Training
8a858e4b5cb1e4d7015cbbde80436cf1,8a858e4b5cb1e4d7015cbbde80436cf1,2,1.5,3,1.002222222,1.002083333,2.004166667,365,365,730,0,0,0,1,1,2,35,100,34.7,69,302000107,2,14:47.0,14:40.0,10000,13000,30,,Good,00:00.0,Savings,Savings,7.9117961,5.0372535,EcoBank,,Permanent,Permanent,,Validation
8a858e4b5cb1e4d7015cc28ac0be5d73,8a858e4b5cb1e4d7015cc28ac0be5d73,2,1.5,3,1.018888889,1.010555556,2.021111111,365,365,730,0,0,0,1,1,2,37,100,37,74,301979132,2,21:52.0,21:44.0,10000,13000,30,,Good,00:00.0,Savings,Savings,4.6120462,8.475389,GT Bank,,,Unknown,,Test
8a858e4b5cb1e4d7015cc489987520bf,8a858e4b5cb1e4d7015cc489987520bf,2,1.5,3,1.019444444,1.010555556,2.021111111,365,365,730,0,0,0,1,1,2,36,100,35.8,72,301990428,2,01:04.0,00:58.0,10000,13000,30,,Good,00:00.0,Savings,Savings,3.2940814,6.6315824,Diamond Bank,,Permanent,Permanent,,Training
8a858e4e5c3502ab015c35362d7c1016,8a858e4e5c3502ab015c35362d7c1016,2,1.5,3,1.018888889,1.010277778,2.020555556,365,365,730,1,1,2,1,1,2,33,100,32.8,66,301970504,2,22:09.0,22:03.0,10000,11500,15,8a858eb75c21a2b9015c2a3cd3363330,Good,00:00.0,Savings,Savings,3.2642226,6.6165615,UBA,,,Unknown,,Training
8a858e5a5be99e1c015be9e56ea00fde,8a858e5a5be99e1c015be9e56ea00fde,2,1.5,3,1.019166667,1.010555556,2.021111111,365,273.75,547.5,0,0,0,1,1,2,32,100,32.1,64,301977346,2,58:16.0,58:09.0,10000,11500,15,,Good,00:00.0,Savings,Savings,3.9704655,6.5858269,UBA,,Permanent,Permanent,,Validation
8a858e5b5bd99460015bda6daf5a2d6f,8a858e5b5bd99460015bda6daf5a2d6f,2,1.5,3,1.003333333,1.002916667,2.005833333,365,365,730,1,1,2,0,0,0,31,0,31.1,62,301997855,2,55:12.0,55:03.0,10000,13000,30,8a858fa154e2912f0154ee239b0857f0,Bad,00:00.0,Savings,Savings,7.4515712,10.4549443,Access Bank,,Permanent,Permanent,,Validation
8a858e5b5bd99460015bdfb8f92e480d,8a858e5b5bd99460015bdfb8f92e480d,2,1.5,3,1.002222222,1.002083333,2.004166667,365,365,730,0,0,0,1,1,2,35,100,34.9,70,301973062,2,49:26.0,49:19.0,10000,13000,30,,Good,00:00.0,Current,Other,3.3626771,6.4537352,Access Bank,,Permanent,Permanent,,Validation
8a858e5b5ca767e1015ca8a7c45543d6,8a858e5b5ca767e1015ca8a7c45543d6,2,1.5,3,1.018888889,1.010138889,2.020277778,365,365,730,0,0,0,1,1,2,42,100,42,84,301966884,2,41:20.0,41:15.0,10000,13000,30,,Good,00:00.0,Savings,Savings,3.3379693,6.7246877,Skye Bank,,Permanent,Permanent,,Test
8a858e5b5ca767e1015ca9d8f9d750f4,8a858e5b5ca767e1015ca9d8f9d750f4,2,1.5,3,1.019166667,1.010555556,2.021111111,365,365,730,0,0,0,0,0,0,23,0,22.9,46,301979838,2,25:06.0,24:59.0,10000,13000,30,,Bad,00:00.0,Savings,Savings,8.3355696,5.0262751,FCMB,,,Unknown,,Training
8a858e5b5ca767e1015caa30f3125abc,8a858e5b5ca767e1015caa30f3125abc,2,1.5,3,1.019166667,1.010416667,2.020833333,365,365,730,1,1,2,1,0.5,1,32,50,31.6,63,301963103,2,43:11.0,43:05.0,10000,13000,30,8a858fcb5ca240f7015ca6166a3375c4,Bad,00:00.0,Savings,Savings,-92.391699,34.5501035,Access Bank,,Permanent,Permanent,,Training
8a858e5b5ca767e1015cabb669de1afd,8a858e5b5ca767e1015cabb669de1afd,2,1.5,3,1.018888889,1.010416667,2.020833333,365,365,730,1,1,2,1,1,2,35,100,34.9,70,301976434,2,35:07.0,35:00.0,10000,13000,30,8a858fe756939bbb0156993f3dda2d08,Good,00:00.0,Savings,Savings,3.344965,6.6061828,Zenith Bank,,Permanent,Permanent,,Training
8a858e5c5c361f7d015c398156ef666a,8a858e5c5c361f7d015c398156ef666a,2,1.5,3,1.018888889,1.010277778,2.020555556,365,365,730,0,0,0,0,0,0,53,0,52.5,105,301995581,2,27:52.0,27:46.0,10000,13000,30,,Bad,00:00.0,Savings,Savings,6.5242494,9.6283896,First Bank,,Permanent,Permanent,,Test
8a858e5d5bf3454f015bf674714d1844,8a858e5d5bf3454f015bf674714d1844,2,1.5,3,1.002222222,1.001944444,2.003888889,365,365,730,0,0,0,1,0.5,1,38,50,37.6,75,301985555,2,42:04.0,41:58.0,10000,13000,30,,Good,00:00.0,Savings,Savings,3.8176559,7.3632415,Diamond Bank,,Permanent,Permanent,,Training
8a858e5d5c7e25b4015c7e443a870e39,8a858e5d5c7e25b4015c7e443a870e39,2,1.5,3,1.008055556,1.005138889,2.010277778,365,365,730,0,0,0,1,1,2,35,100,35.1,70,301976160,2,23:09.0,23:01.0,10000,13000,30,,Good,00:00.0,Savings,Savings,3.2648063,6.5762506,First Bank,,Permanent,Permanent,,Training
